image,title,platform,price
https://media.gamestop.com/i/gamestop/11102033/Minecraft-Dungeons?w=188&h=188,Minecraft Dungeons,PC,19.99
https://media.gamestop.com/i/gamestop/11102034/Minecraft-Dungeons-Hero-Edition?w=188&h=188,Minecraft Dungeons Hero Edition,PC,29.99
https://media.gamestop.com/i/gamestop/10168653/Minecraft-Starter-Collection?w=188&h=188,Minecraft Starter Collection,PC,29.99
https://media.gamestop.com/i/gamestop/10099083/Mortal-Kombat-Arcade-Kollection?w=188&h=188,Mortal Kombat Arcade Kollection,PC,9.99
https://media.gamestop.com/i/gamestop/10127704/Naruto-Shippuden-Ultimate-Ninja-Storm-4?w=188&h=188,Naruto Shippuden Ultimate Ninja Storm 4,PC,29.99
https://media.gamestop.com/i/gamestop/10166341/Naruto-to-Boruto-Shinobi-Striker?w=188&h=188,Naruto to Boruto: Shinobi Striker,PC,49.99
https://media.gamestop.com/i/gamestop/11103687/NBA-2K21?w=188&h=188,NBA 2K21,PC,19.8
https://media.gamestop.com/i/gamestop/11103692/NBA-2K21-Mamba-Forever-Edition?w=188&h=188,NBA 2K21 Mamba Forever Edition,PC,32.99
https://media.gamestop.com/i/gamestop/11109235/NieR-Replicant-ver.1.22474487139...?w=188&h=188,NieR Replicant ver.1.22474487139...,PC,59.99
https://media.gamestop.com/i/gamestop/10155757/Observer?w=188&h=188,Observer,PC,29.99
https://media.gamestop.com/i/gamestop/10092746/R.U.S.E.---The-Pack-of-the-Rising-Sun?w=188&h=188,R.U.S.E. - The Pack of the Rising Sun,PC,9.99
https://media.gamestop.com/i/gamestop/11098169/Red-Dead-Redemption-2?w=188&h=188,Red Dead Redemption 2,PC,59.99
https://media.gamestop.com/i/gamestop/10112382/Rocksmith-2014-Edition-No-Cable-Included?w=188&h=188,Rocksmith 2014 Edition (No Cable Included),PC,39.99
https://media.gamestop.com/i/gamestop/11097700/Sid-Meiers-Civilization-VI-Platinum-Edition?w=188&h=188,Sid Meier's Civilization VI: Platinum Edition,PC,34.8
https://media.gamestop.com/i/gamestop/10118849/SimCity-Complete-Edition?w=188&h=188,SimCity Complete Edition,PC,29.99
https://media.gamestop.com/i/gamestop/10176037/Star-Wars-Jedi-Fallen-Order?w=188&h=188,Star Wars Jedi: Fallen Order,PC,19.99
https://media.gamestop.com/i/gamestop/11103296/Star-Wars-Squadrons?w=188&h=188,Star Wars: Squadrons,PC,19.99
https://media.gamestop.com/i/gamestop/10109417/Star-Wars-The-Old-Republic-2400-Cartel-Coins?w=188&h=188,"Star Wars: The Old Republic 2,400 Cartel Coins",PC,19.99
https://media.gamestop.com/i/gamestop/10130538/Stardew-Valley?w=188&h=188,Stardew Valley,PC,14.99
https://media.gamestop.com/i/gamestop/10174868/SUPER-DRAGON-BALL-HEROES-WORLD-MISSION?w=188&h=188,SUPER DRAGON BALL HEROES WORLD MISSION,PC,59.99
https://media.gamestop.com/i/gamestop/10116952/The-Elder-Scrolls-IV-Oblivion-Game-of-the-Year-Edition?w=188&h=188,The Elder Scrolls IV: Oblivion Game of the Year Edition,PC,14.99
https://media.gamestop.com/i/gamestop/10142292/The-Elder-Scrolls-Online?w=188&h=188,The Elder Scrolls Online,PC,19.99
https://media.gamestop.com/i/gamestop/10161037/The-Elder-Scrolls-V-Skyrim-VR?w=188&h=188,The Elder Scrolls V Skyrim VR,PC,59.99
https://media.gamestop.com/i/gamestop/10097815/The-Elder-Scrolls-V-Skyrim?w=188&h=188,The Elder Scrolls V: Skyrim,PC,19.99
https://media.gamestop.com/i/gamestop/10109737/The-Elder-Scrolls-V-Skyrim-Legendary-Edition?w=188&h=188,The Elder Scrolls V: Skyrim Legendary Edition,PC,39.99
https://media.gamestop.com/i/gamestop/10138906/The-Elder-Scrolls-V-Skyrim-Special-Edition?w=188&h=188,The Elder Scrolls V: Skyrim Special Edition,PC,39.99
https://media.gamestop.com/i/gamestop/10115292/The-Forest?w=188&h=188,The Forest,PC,19.99
https://media.gamestop.com/i/gamestop/10167562/The-Golf-Club-2019-Featuring-PGA-Tour?w=188&h=188,The Golf Club 2019 Featuring PGA Tour,PC,9.99
https://media.gamestop.com/i/gamestop/10153268/The-Invisible-Hours-for-Oculus-Rift?w=188&h=188,The Invisible Hours for Oculus Rift,PC,29.99
https://media.gamestop.com/i/gamestop/10111452/The-Sims-4?w=188&h=188,The Sims 4,PC,39.99
https://media.gamestop.com/i/gamestop/11111408/The-Sims-4-Snowy-Escape?w=188&h=188,The Sims 4 Snowy Escape,PC,39.99
https://media.gamestop.com/i/gamestop/10152861/The-Sims-4-Cats-and-Dogs?w=188&h=188,The Sims 4: Cats and Dogs,PC,39.99
https://media.gamestop.com/i/gamestop/10120142/The-Sims-4-Get-to-Work?w=188&h=188,The Sims 4: Get to Work,PC,39.99
https://media.gamestop.com/i/gamestop/10114064/The-Witcher-III-Wild-Hunt?w=188&h=188,The Witcher III: Wild Hunt,PC,39.99
https://media.gamestop.com/i/gamestop/10120830/Tom-Clancys-Rainbow-Six-Siege?w=188&h=188,Tom Clancy's Rainbow Six: Siege,PC,7.97
https://media.gamestop.com/i/gamestop/11052200/Total-War-ROME-II-Emperor-Edition?w=188&h=188,Total War: ROME II Emperor Edition,PC,59.95
https://media.gamestop.com/i/gamestop/11052177/Total-War-Warhammer-II?w=188&h=188,Total War: Warhammer II,PC,59.99
https://media.gamestop.com/i/gamestop/10146775/Train-Sim-World-CSX-Heavy-Haul?w=188&h=188,Train Sim World: CSX Heavy Haul,PC,39.99
https://media.gamestop.com/i/gamestop/10168955/Wizard-101-Aero-Plains-Bundle-Digital-Card?w=188&h=188,Wizard 101 Aero Plains Bundle Digital Card,PC,39
https://media.gamestop.com/i/gamestop/11097593/Wizard-101-Undersea-Enchantment-Digital-Card?w=188&h=188,Wizard 101 Undersea Enchantment Digital Card,PC,39
https://media.gamestop.com/i/gamestop/10155960/World-of-Warcraft-Full-Game-eCard?w=188&h=188,World of Warcraft Full Game eCard,PC,19.99
https://media.gamestop.com/i/gamestop/11103915/World-of-Warcraft-Shadowlands-Digital-Base-Edition?w=188&h=188,World of Warcraft: Shadowlands Digital Base Edition,PC,39.99
https://media.gamestop.com/i/gamestop/10114328/Yu-Gi-Oh-Millenium-Duels?w=188&h=188,Yu-Gi-Oh! Millenium Duels,PC,10
